이력ID,노선ID,정류소ID,노선명,정류소명
1000001161,207000055,235000099,30-1(지게동),주공아파트
1000001161,207000055,235000089,30-1(지게동),덕정고등학교
1000001161,207000055,235000098,30-1(지게동),조은마을(주공6단지)
1000001161,207000055,235000097,30-1(지게동),서재말
1000001161,207000055,235000601,30-1(지게동),회암2동.회암편의점
1000001161,207000055,235000521,30-1(지게동),율정삼거리
1000001161,207000055,235000087,30-1(지게동),천보초등학교앞
1000001161,207000055,235000086,30-1(지게동),모정동
1000001161,207000055,235000085,30-1(지게동),귀율동
1000001161,207000055,235000084,30-1(지게동),기우리다리앞
1000001161,207000055,235000083,30-1(지게동),새마을목장
1000001161,207000055,235000082,30-1(지게동),65사단앞
1000001161,207000055,235000382,30-1(지게동),풀무원입구
1000001161,207000055,235000400,30-1(지게동),윗삼가대
1000001161,207000055,235000399,30-1(지게동),삼숭2통마을회관
1000001161,207000055,235000398,30-1(지게동),삼숭2통.아랫삼가대
1000001161,207000055,235000397,30-1(지게동),양주2동사무소
1000001161,207000055,235000396,30-1(지게동),나래아파트앞
1000001161,207000055,235000395,30-1(지게동),TS3차푸른솔아파트
1000001161,207000055,235000516,30-1(지게동),장거리삼거리
1000001161,207000055,235000686,30-1(지게동),은행나무앞
1000001161,207000055,235000896,30-1(지게동),우리상회
1000001161,207000055,235000690,30-1(지게동),상동슈퍼
1000001161,207000055,235000895,30-1(지게동),명진빌라
1000001161,207000055,235000385,30-1(지게동),축산위생연구소
1000001161,207000055,235000519,30-1(지게동),현진에버빌아파트
1000001161,207000055,235000917,30-1(지게동),덕계7동(도둔리)
1000001161,207000055,235000384,30-1(지게동),푸르지오아파트
1000001161,207000055,235000919,30-1(지게동),덕계동아카데미과학
1000001161,207000055,235000438,30-1(지게동),샘내고개
1000001161,207000055,235000437,30-1(지게동),샘내
1000001161,207000055,235000067,30-1(지게동),주공5단지
1000001161,207000055,235000066,30-1(지게동),회천3동사무소
1000001161,207000055,235000436,30-1(지게동),수색대앞
1000001161,207000055,235000243,30-1(지게동),양주시청
1000001161,207000055,235000242,30-1(지게동),주내역
1000001161,207000055,235000241,30-1(지게동),양주1동사무소
1000001161,207000055,207000025,30-1(지게동),비석거리
1000001161,207000055,207000304,30-1(지게동),녹양역
1000001161,207000055,207000024,30-1(지게동),녹양교앞
1000001161,207000055,207000023,30-1(지게동),대원여객
1000001161,207000055,207000022,30-1(지게동),주택앞
1000001161,207000055,207000021,30-1(지게동),가능역
1000001161,207000055,207000034,30-1(지게동),보훈지청앞
1000001161,207000055,207000090,30-1(지게동),포천로타리
1000001161,207000055,207000267,30-1(지게동),중앙로
1000001161,207000055,207000266,30-1(지게동),의정부역(동부광장)
1000001161,207000055,207000153,30-1(지게동),의정부역
1000001161,207000055,207000152,30-1(지게동),중앙초교앞
1000001161,207000055,207000029,30-1(지게동),가능역
1000001161,207000055,207000028,30-1(지게동),주택앞
1000002277,204000030,206000013,220-1,LG체육관앞
1000002277,204000030,206000012,220-1,청계휴게소앞
1000002277,204000030,206000011,220-1,한국학중앙연구원
1000002277,204000030,206000009,220-1,연구원사택
1000002277,204000030,206000008,220-1,청계산휴게소.LG체육관앞
1000002277,204000030,206000481,220-1,운중동사무소앞
1000002277,204000030,206000483,220-1,하산운동앞
1000002277,204000030,206000484,220-1,아랫말
1000002277,204000030,206000489,220-1,광암마을정문
1000002277,204000030,206000487,220-1,낙생고교앞
1000002277,204000030,206000362,220-1,남서울골프장
1000002277,204000030,206000236,220-1,수내역.정자사거리(종점)
1000002277,204000030,206000257,220-1,로얄팰리스.느티마을
1000002277,204000030,206000019,220-1,남서울골프장
1000002277,204000030,206000488,220-1,판교동사무소앞.낙생고교
1000002277,204000030,206000486,220-1,광암마을정문
1000002277,204000030,206000485,220-1,광암마을후문
1000002277,204000030,206000482,220-1,국민주택앞
1000002277,204000030,206000013,220-1,LG체육관앞
1000002277,204000030,206000012,220-1,청계휴게소앞
1000002277,204000030,206000011,220-1,한국학중앙연구원
1000002277,204000030,206000009,220-1,연구원사택
1000002277,204000030,206000008,220-1,청계산휴게소.LG체육관
1000002277,204000030,206000490,220-1,국가정보대학원.석운동
1000001401,204000026,205000083,52,사기막골.차고지
1000001401,204000026,205000033,52,영원무역앞
1000001401,204000026,205000093,52,SK테크노파크
1000001401,204000026,205000092,52,삼성테크원
1000001401,204000026,205000201,52,국제상사
1000001401,204000026,205000199,52,삼영전자
1000001401,204000026,205000200,52,샤니후문
1000001401,204000026,205000129,52,상대원1동사무소
1000001401,204000026,205000128,52,대원터널앞사거리
1000001401,204000026,205000155,52,성남냉동.자이아파트
1000001401,204000026,205000154,52,대하초등학교.하대원아튼빌정문
1000001401,204000026,205000153,52,아튼빌후문앞
1000001401,204000026,205000152,52,하대원동사무소.영성중학교
1000001401,204000026,205000151,52,성남동현대아파트
1000001401,204000026,205000150,52,중원구청앞
1000001401,204000026,205000149,52,모란동성당.성남동성당
1000001401,204000026,205000021,52,모란역.모란시장앞
1000001401,204000026,205000086,52,풍생고앞
1000001401,204000026,205000023,52,종합운동장입구.공설운동장
1000001401,204000026,205000002,52,성호시장.수진역
1000001401,204000026,205000001,52,종합시장
1000001401,204000026,205000022,52,우체국앞
1000001401,204000026,205000025,52,구종점.세이브존
1000001401,204000026,204000065,52,미도아파트.성남세무서
1000001401,204000026,204000124,52,수정보건소
1000001401,204000026,204000123,52,산성동사무소
1000001401,204000026,204000084,52,산성역.신흥주공후문
1000001401,204000026,204000070,52,성남기능대학.영성중학교
1000001401,204000026,204000194,52,웃논골앞
1000001401,204000026,205000208,52,남문매표소앞
