범주,범주코드,대표전용면적_m2,적용면적범위,파일명,파일경로,검색어,검색제목,원본문서URL,원본이미지URL,최종이미지URL,출처도메인,가로,세로,가로세로비,원본파일크기,이미지해시,검색점수,검토상태
전용39,39,39,40㎡ 미만,floorplan_39_01.jpg,아파트_공통_이미지\평면도\전용39\floorplan_39_01.jpg,대한민국 아파트 전용 39㎡ 평면도,부산 대신 더샵 10년 공공임대주택 전용면적 39㎡형 평면도 - dyurwitcherry's it.ἄλφα,https://minorcastle.blogspot.com/2018/05/10-39.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgZuxO4S3pWPlGQlhy98RFSKk9R__HpIZIGyW_D9ri3-djW5kyVMCcQNIK1ny-xOYgCZ6LzgA8uStKXm0v_MiLIqpLJKPqhlgmfYREwDXJVpRELHT3gXoIWOEpWbMPqSlCMpCuXJX2g8U0/s1600/STS39.PNG,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgZuxO4S3pWPlGQlhy98RFSKk9R__HpIZIGyW_D9ri3-djW5kyVMCcQNIK1ny-xOYgCZ6LzgA8uStKXm0v_MiLIqpLJKPqhlgmfYREwDXJVpRELHT3gXoIWOEpWbMPqSlCMpCuXJX2g8U0/s1600/STS39.PNG,minorcastle.blogspot.com,1600,1311,1.22,797900,0000ff00f700f704f700f700f700f700f700f710f720f700e700f700e700ffff,30,검토필요
전용39,39,39,40㎡ 미만,floorplan_39_02.jpg,아파트_공통_이미지\평면도\전용39\floorplan_39_02.jpg,대한민국 아파트 전용 39㎡ 평면도,성남판교 A24-1블록 국민임대주택 백현마을 휴먼시아 4단지 아파트 전용면적 39㎡형·46㎡형·51㎡형 평면도 ...,https://minorcastle.blogspot.com/2023/05/a24-1-4-394651.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj9tXuGwKFvRWQ10JeA7L4SPX2H-AOkCs6nerRbrPW7vFIgIZkH7pV0e7TeQcneBMTJzzZWcBMLyU3HyCBia1gJ-fNvrD8NQQKpbTlELB2fqxbzRe7evlj5dCs-0y-aQAw1JU7ZLwPN7wkpE5RY_h5qFd810UVBCsxI6ca1GNRk0yJQYlIjPv645QE5/s16000/SNPGA24-1BL39B.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj9tXuGwKFvRWQ10JeA7L4SPX2H-AOkCs6nerRbrPW7vFIgIZkH7pV0e7TeQcneBMTJzzZWcBMLyU3HyCBia1gJ-fNvrD8NQQKpbTlELB2fqxbzRe7evlj5dCs-0y-aQAw1JU7ZLwPN7wkpE5RY_h5qFd810UVBCsxI6ca1GNRk0yJQYlIjPv645QE5/s16000/SNPGA24-1BL39B.png,minorcastle.blogspot.com,2439,2631,0.927,1072845,9fff8fff0fff0f97af03af1b2f032f032f03ff03ff4bff03ff03ff03ffffffff,30,검토필요
전용39,39,39,40㎡ 미만,floorplan_39_03.jpg,아파트_공통_이미지\평면도\전용39\floorplan_39_03.jpg,대한민국 아파트 전용 39㎡ 평면도,수원세류지구 LH 수원센트럴타운 2단지 전용면적 39㎡·51㎡·59㎡형 평면도 - dyurwitcherry's it.ἄλφα,https://minorcastle.blogspot.com/2016/04/lh-2-395159.html,https://1.bp.blogspot.com/-XmwhJlxB34M/VvyKp9L--8I/AAAAAAAAAZ8/1Q-qhNqZNYonki8I_-s8pvDxDJ62gde1w/s1600/2B_39A.png,https://1.bp.blogspot.com/-XmwhJlxB34M/VvyKp9L--8I/AAAAAAAAAZ8/1Q-qhNqZNYonki8I_-s8pvDxDJ62gde1w/s1600/2B_39A.png,minorcastle.blogspot.com,1600,1089,1.469,538698,00009fff9ff99ff99fff9fcf1187118313c111e119f111f31fff1f81ff00ffff,30,검토필요
전용39,39,39,40㎡ 미만,floorplan_39_04.jpg,아파트_공통_이미지\평면도\전용39\floorplan_39_04.jpg,대한민국 아파트 전용 39㎡ 평면도,래미안 안양 메가트리아 아파트 전용면적 39㎡형·49㎡형 평면도 - dyurwitcherry's it.ἄλφα,https://minorcastle.blogspot.com/2023/08/3949.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi3EW1BaSLNUZTBh6WiLAj_1PuQdDrgYZbCqjPeXPaPAgKlSSUGGaJy61QX61KZkgOLJuzNJwr6zeHzC_-n896mCt2Bj2_MtDQHjdjABAK5T01mb2IjERx94VsSbFtvOP0FwXEj2rOmkbkemDddmEwxFoy5kRcyDss-lHKaNVmxjeaVWlEnhFYzVFaQsOI/s5801/RMAAYMGT05APT39A.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi3EW1BaSLNUZTBh6WiLAj_1PuQdDrgYZbCqjPeXPaPAgKlSSUGGaJy61QX61KZkgOLJuzNJwr6zeHzC_-n896mCt2Bj2_MtDQHjdjABAK5T01mb2IjERx94VsSbFtvOP0FwXEj2rOmkbkemDddmEwxFoy5kRcyDss-lHKaNVmxjeaVWlEnhFYzVFaQsOI/s5801/RMAAYMGT05APT39A.png,minorcastle.blogspot.com,5801,3513,1.651,2722010,1bff1fff1fff1fcfff87ef87c7c3c7c3c7c1c7e1c7e1c7f3c7ffe7bfffff0000,30,검토필요
전용39,39,39,40㎡ 미만,floorplan_39_05.jpg,아파트_공통_이미지\평면도\전용39\floorplan_39_05.jpg,대한민국 아파트 전용 39㎡ 평면도,대전 LH이스트시티 2블록 전용면적 39㎡·46㎡·59㎡·74㎡형 평면도 - dyurwitcherry's it.ἄλφα,https://minorcastle.blogspot.com/2018/04/lh-2-39465974.html,https://1.bp.blogspot.com/-AT_6gBJvCcA/WsbpHbAI9LI/AAAAAAAABhk/JhFxbrZY6HAVtUMiV0W2_ZyMAu0mwdEVACLcBGAs/s1600/DD39A.PNG,https://1.bp.blogspot.com/-AT_6gBJvCcA/WsbpHbAI9LI/AAAAAAAABhk/JhFxbrZY6HAVtUMiV0W2_ZyMAu0mwdEVACLcBGAs/s1600/DD39A.PNG,minorcastle.blogspot.com,1000,942,1.062,312705,ffffffefffe3fce7f007e01fc03f807f80ff81ffe3e3fff3fff7ffe7ffe7ffff,30,검토필요
전용39,39,39,40㎡ 미만,floorplan_39_06.jpg,아파트_공통_이미지\평면도\전용39\floorplan_39_06.jpg,대한민국 아파트 전용 39㎡ 평면도,목포대성 LH천년나무 10년 공공임대 39㎡·51㎡ 및 분양주택 84㎡형 평면도 - dyurwitcherry's it.ἄλφα,https://minorcastle.blogspot.com/2018/03/lh-10-3951-84.html,https://1.bp.blogspot.com/-i9bxR-Q2ngU/WqxwJ2qpi-I/AAAAAAAAAzM/UEFKS0nTueoTaDdcnSFgFr4r4WVzgqmFQCLcBGAs/s1600/MPDS_39AB.png,https://1.bp.blogspot.com/-i9bxR-Q2ngU/WqxwJ2qpi-I/AAAAAAAAAzM/UEFKS0nTueoTaDdcnSFgFr4r4WVzgqmFQCLcBGAs/s1600/MPDS_39AB.png,minorcastle.blogspot.com,1600,929,1.722,667973,1f0107013f9fffffffbfbfbfe7f7c3e3c7e387e187f1a1d089d889d9f9dfffff,30,검토필요
전용39,39,39,40㎡ 미만,floorplan_39_07.jpg,아파트_공통_이미지\평면도\전용39\floorplan_39_07.jpg,대한민국 아파트 전용 39㎡ 평면도,통영북신 행복주택 통영 해모로 오션힐 아파트 39A형·39B형 평면도 - dyurwitcherry's it.ἄλφα,https://minorcastle.blogspot.com/2022/12/39a39b.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjVLRK7F1Fjg2tMXsjKgAevIMG5IEoR84PN-P_mkeWwMu5XrKXFbOv-lkS83HYNx5ZpmWOqzMDbQaBedNiRmPTUJb1Nv8KXY7P1Gi5fpTzjKT89fhYrFua2USej5IBeaATtY7gWa3y3P8-w85PNQSDb19UM4glw37lAJA1iGOOyl_p2nlvChqisQPiT/s16000/TYBSHP39.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjVLRK7F1Fjg2tMXsjKgAevIMG5IEoR84PN-P_mkeWwMu5XrKXFbOv-lkS83HYNx5ZpmWOqzMDbQaBedNiRmPTUJb1Nv8KXY7P1Gi5fpTzjKT89fhYrFua2USej5IBeaATtY7gWa3y3P8-w85PNQSDb19UM4glw37lAJA1iGOOyl_p2nlvChqisQPiT/s16000/TYBSHP39.png,minorcastle.blogspot.com,5041,2681,1.88,1763912,3fff3fffe1e161e021e0f1e0e1e0e1e0e1e0e1e061e021e0e1e0e1e1f7ffffff,27,검토필요
전용39,39,39,40㎡ 미만,floorplan_39_08.jpg,아파트_공통_이미지\평면도\전용39\floorplan_39_08.jpg,대한민국 아파트 전용 39㎡ 평면도,부산전포 LH아파트 국민임대주택 33형·39형·46A형·46B형 평면도 - dyurwitcherry's it.ἄλφα,https://minorcastle.blogspot.com/2022/12/lh-333946a46b.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg7MobYmmB97I-LcVkuip4teUxOt40TwVAJ-oGyJyENMCBSFPI-xq6diNIUELkVP2WCbAXjvx03XiO0jWtdJ7fUtm-koJyif2O50ypyEB-aoHmymqKlNsiXJ6SYJ04gwxx3woz5sWTeHc2k0dHNC7zxTLQHtl0WBoK6OWwkKejM5LaI6R8Qt_HGsYxc/s16000/BSJPLHAPT39.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg7MobYmmB97I-LcVkuip4teUxOt40TwVAJ-oGyJyENMCBSFPI-xq6diNIUELkVP2WCbAXjvx03XiO0jWtdJ7fUtm-koJyif2O50ypyEB-aoHmymqKlNsiXJ6SYJ04gwxx3woz5sWTeHc2k0dHNC7zxTLQHtl0WBoK6OWwkKejM5LaI6R8Qt_HGsYxc/s16000/BSJPLHAPT39.png,minorcastle.blogspot.com,2601,2873,0.905,1480317,0fff0fff0f1f3c0f0c077e010f01ff83ffcfffff7fc7ff87ff87ff87ff87ffff,27,검토필요
전용39,39,39,40㎡ 미만,floorplan_39_09.jpg,아파트_공통_이미지\평면도\전용39\floorplan_39_09.jpg,대한민국 아파트 전용 39㎡ 평면도,부산범천 국민임대주택 범천LH아파트 33A형·39A형·39B형·46A형·46B형·51A형 평면도 - dyurwitcherry's ...,https://minorcastle.blogspot.com/2022/12/lh-33a39a39b46a46b51a.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhbiwe8glUc5OfNG4yzS1Fz58AMtCNJnTLniHMxEc4tQDaib5dZkxKG8MMSkaYhYsMkMvumSsr7ZmK3VfYVVM3dHl0JEb_c_DGYNMPbG-PenBwy-cYZq0IlmG3jrvu0B_sEXqLClw_1lt-9u3OH3MbP1XhVQ1UwjWHTFIUmvvhjmC3Axeg8yetgR8_0/s2409/BSBCLHAPT39B.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhbiwe8glUc5OfNG4yzS1Fz58AMtCNJnTLniHMxEc4tQDaib5dZkxKG8MMSkaYhYsMkMvumSsr7ZmK3VfYVVM3dHl0JEb_c_DGYNMPbG-PenBwy-cYZq0IlmG3jrvu0B_sEXqLClw_1lt-9u3OH3MbP1XhVQ1UwjWHTFIUmvvhjmC3Axeg8yetgR8_0/s2409/BSBCLHAPT39B.png,minorcastle.blogspot.com,2409,1239,1.944,1155315,fffff3ffe1f8e1f8e1f0c1d0c310c3f083f083f033ff17ff07f88710cff8ffff,27,검토필요
전용39,39,39,40㎡ 미만,floorplan_39_10.jpg,아파트_공통_이미지\평면도\전용39\floorplan_39_10.jpg,대한민국 아파트 전용 39㎡ 평면도,부산전포 LH아파트 국민임대주택 33형·39형·46A형·46B형 평면도 - dyurwitcherry's it.ἄλφα,https://minorcastle.blogspot.com/2022/12/lh-333946a46b.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj9MfFo2rtlhRLCInG54_aRc_4NqlHVjISo-4mir5CyvmTojlGdcbbMX8mzKOzWROch97yN4cr7mlbyvONkIky6ka3QKKuxEthQ7S_CeCVmJ_7XqucblATdDuT2k_YahdnVP7YHBCOJfvxqgk1vboCvgkxkql_ZdhZJum1n4Q6z43oZvhmmYSMs7l1I/s2881/BSJPLHAPT46A.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj9MfFo2rtlhRLCInG54_aRc_4NqlHVjISo-4mir5CyvmTojlGdcbbMX8mzKOzWROch97yN4cr7mlbyvONkIky6ka3QKKuxEthQ7S_CeCVmJ_7XqucblATdDuT2k_YahdnVP7YHBCOJfvxqgk1vboCvgkxkql_ZdhZJum1n4Q6z43oZvhmmYSMs7l1I/s2881/BSJPLHAPT46A.png,minorcastle.blogspot.com,2601,2881,0.903,1261616,0fff0fff0f9f3f010e01fc030807fe0fff9fffffffafff07ff07ff07ff07ffff,27,검토필요
