단지명,주소목록,행정동목록,지번목록,exclusive_area,property_ids
까치마을(1단지)(대우롯데선경),경기도 성남시 분당구 미금로 184,경기도 성남시 분당구 구미동,77,51.32 | 70.66 | 84.79 | 101.76 | 134.83,205 | 348 | 465 | 862 | 878 | 1047 | 1102 | 1147 | 1227 | 1231 | 1233 | 1339 | 1474 | 1476 | 1478 | 1622 | 1628 | 1720 | 1762 | 1927 | 2198 | 2213 | 2244 | 2641 | 2642 | 2731 | 2850 | 2858 | 3053 | 3472 | 3482 | 3548 | 3668 | 3725 | 3831 | 4240 | 4241 | 4294 | 4378 | 4425 | 4830 | 4907 | 4908
까치마을(2단지)(주공),경기도 성남시 분당구 미금일로 22,경기도 성남시 분당구 구미동,88,49.36 | 49.67 | 58.14 | 59.98,466 | 783 | 823 | 824 | 946 | 1025 | 1319 | 1475 | 1678 | 1689 | 1801 | 1975 | 1989 | 2135 | 2167 | 2183 | 2536 | 2730 | 2854 | 2855 | 2856 | 3543 | 3554 | 3830 | 3955 | 3964 | 4144 | 4259 | 4367 | 4524 | 4536 | 4598 | 4644 | 4786
까치마을(3단지)(신원),경기도 성남시 분당구 미금로 177,경기도 성남시 분당구 구미동,66,59.9 | 84.8 | 101.86 | 130.83 | 162.87 | 167.4,84 | 139 | 331 | 346 | 347 | 364 | 661 | 848 | 886 | 1011 | 1328 | 1421 | 1643 | 1688 | 1729 | 1768 | 1845 | 2034 | 2095 | 2292 | 2314 | 2364 | 2733 | 2828 | 3161 | 3182 | 3310 | 3552 | 3837 | 4127 | 4655 | 4678 | 4700 | 4732 | 4733 | 4843
까치마을(4단지)(롯데),경기도 성남시 분당구 미금일로 58,경기도 성남시 분당구 구미동,63,51.32 | 70.66 | 84.79 | 134.83,140 | 278 | 461 | 582 | 850 | 1048 | 1059 | 1309 | 1422 | 1543 | 1582 | 1671 | 1929 | 1931 | 2118 | 2353 | 2389 | 2521 | 2827 | 2849 | 2963 | 2972 | 2977 | 3004 | 3055 | 3290 | 3342 | 3583 | 4868
까치마을(4단지)(선경),경기도 성남시 분당구 미금일로 58,경기도 성남시 분당구 구미동,63,51.32 | 70.66 | 84.79 | 101.76,277 | 694 | 822 | 851 | 1042 | 1060 | 1104 | 1522 | 1766 | 2030 | 2355 | 2391 | 2613 | 2978 | 3528 | 3633 | 3669 | 3828 | 4059 | 4403 | 4588 | 4837
느티마을(3단지)(공무원),경기도 성남시 분당구 느티로 70,경기도 성남시 분당구 정자동,88,58.71 | 66.6 | 67.43,257 | 356 | 451 | 628 | 1192 | 2124 | 2437 | 2661 | 3870
느티마을(4단지)(공무원),경기도 성남시 분당구 느티로 70,경기도 성남시 분당구 정자동,90,58.19 | 58.71 | 66.6 | 67.43,320 | 430 | 432 | 463 | 476 | 484 | 566 | 897 | 988 | 1847 | 1939 | 3280 | 3346 | 3420 | 3491 | 3652 | 3693 | 3877 | 3939 | 4042 | 4097
더샵분당파크리버,경기도 성남시 분당구 돌마로 171,경기도 성남시 분당구 정자동,215,59.9474 | 74.9761 | 74.9994 | 84.925 | 84.9316 | 84.9377 | 84.9663 | 84.9807 | 84.9987,171 | 379 | 537 | 629 | 709 | 896 | 981 | 1196 | 1241 | 1304 | 1819 | 1894 | 1909 | 1921 | 2255 | 2397 | 2435 | 2455 | 2579 | 2617 | 2618 | 2644 | 2798 | 2799 | 2903 | 2920 | 3019 | 3330 | 3454 | 3907 | 4323 | 4372 | 4385 | 4389 | 4726 | 4776
동양정자파라곤(1단지),경기도 성남시 분당구 정자일로 210,경기도 성남시 분당구 정자동,14-3,84.95 | 146.37 | 166.38,258 | 1084 | 2086 | 3450 | 3659 | 3994
동양정자파라곤(2단지),경기도 성남시 분당구 정자일로 220,경기도 성남시 분당구 정자동,14-1,80.06 | 84.95 | 146.37 | 166.38,288 | 385 | 3021 | 3993
동양정자파라곤(3단지),경기도 성남시 분당구 정자일로 230,경기도 성남시 분당구 정자동,13-1,80.06 | 146.37 | 166.38,1106 | 4505 | 4539
동원로얄듀크,경기도 성남시 분당구 돌마로 908,경기도 성남시 분당구 야탑동,190,96.59 | 121.247,51 | 716 | 898 | 1006 | 1458 | 1800 | 2571 | 2703 | 3422 | 3701 | 3702
두산위브트레지움,경기도 성남시 분당구 정자일로 55,경기도 성남시 분당구 금곡동,192,84.76 | 84.9 | 120.03 | 120.14 | 147.52 | 147.6,79 | 203 | 429 | 527 | 1238 | 1351 | 1352 | 1466 | 1565 | 1645 | 1646 | 1727 | 1793 | 1908 | 1996 | 2036 | 2061 | 2305 | 2346 | 2629 | 2983 | 3193 | 3200 | 3437 | 3700 | 4003 | 4364 | 4499 | 4929 | 4931
두산제니스,경기도 성남시 분당구 정자일로232번길 25,경기도 성남시 분당구 정자동,15-4,132.17 | 157.33,759 | 1629 | 1958 | 3279 | 3807
로얄팰리스,경기도 성남시 분당구 성남대로 449,경기도 성남시 분당구 정자동,28-1,137.76 | 148.16 | 158.69 | 170.6 | 193.26 | 208.87 | 211.19,333 | 795 | 895 | 948 | 1226 | 1433 | 1455 | 1764 | 2085 | 2318 | 2398 | 2423 | 2915 | 3010 | 3011 | 3135 | 3612 | 4292 | 4951 | 4967
매화마을(주공3),경기도 성남시 분당구 양현로 507 | 경기도 성남시 분당구 양현로 537,경기도 성남시 분당구 야탑동,205,30.24 | 38.34 | 41.85 | 46.2 | 49.77,11 | 200 | 456 | 509 | 579 | 654 | 761 | 842 | 969 | 980 | 1005 | 1553 | 1932 | 2110 | 2427 | 2531 | 2576 | 2584 | 2597 | 2700 | 2766 | 2876 | 2953 | 2954 | 3024 | 3038 | 3077 | 3238 | 3260 | 3373 | 3744 | 4362 | 4406 | 4442 | 4468 | 4699 | 4701 | 4889 | 4890
